City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
760,Bairnsdale,AU,71.01,broken clouds,-37.8333,147.6167,Town Central Motel
763,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
768,Hithadhoo,MV,77.99,overcast clouds,-0.6,73.0833,Scoop Guest House
769,Vanimo,PG,82.58,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
772,Port Keats,AU,81.36,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
773,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
783,Carnarvon,AU,78.8,few clouds,-24.8667,113.6333,Hospitality Carnarvon
784,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
787,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
788,Charlestown,AU,82.99,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
789,Matara,LK,75.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
796,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
797,Rodrigues Alves,BR,78.8,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
801,Pak Phanang,TH,75.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
802,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
803,Tebingtinggi,ID,73.4,haze,3.3285,99.1625,Hotel Malibou tebing tinggi
804,Gabu,GW,76.08,clear sky,12.2833,-14.2167,Hotel karsa
810,Puerto Ayora,EC,78.01,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
813,Sibolga,ID,75.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
820,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
831,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
834,Flinders,AU,77.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
835,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
838,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
843,Tchaourou,BJ,80.17,overcast clouds,8.8865,2.5975,SAFIR HOTEL
844,Zaraza,VE,76.6,overcast clouds,9.3503,-65.3245,Hotel Zaraza
846,Wajid,SO,72.64,clear sky,3.8093,43.2471,xamdihotelresturant114
847,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
848,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
851,Gweta,BW,77.97,few clouds,-20.1833,25.2333,Gweta Lodge
852,Santiago Del Estero,AR,83.17,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
860,Port Hedland,AU,87.8,broken clouds,-20.3167,118.5667,The Esplanade Hotel
869,Sidrolandia,BR,77.0,clear sky,-20.9319,-54.9614,Agropet São Francisco
871,Mogadishu,SO,78.12,few clouds,2.0371,45.3438,Olympic Hotel
874,Dwarka,IN,73.09,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
878,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
879,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
880,Kapit,MY,74.16,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
881,Porto Nacional,BR,78.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
882,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
886,Oranjestad,AW,80.6,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
887,Ternate,ID,82.71,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
890,Malakal,SS,84.88,clear sky,9.5334,31.6605,Nile Palace Hotel
894,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
899,Quepos,CR,75.2,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
900,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
901,Monsenhor Gil,BR,78.8,clear sky,-5.5642,-42.6078,VB Hotel
904,Nabire,ID,81.93,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
912,Vung Tau,VN,78.75,overcast clouds,10.345999999999998,107.0843,Green hotel
917,Labuhan,ID,78.82,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
