City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Klaksvik,FO,62.2266,-6.589,37.4,100,20,2.3,few clouds
164,Belluno,IT,46.145,12.2214,39.0,77,60,3.51,broken clouds
165,Leskovac,RS,42.9981,21.9461,33.8,86,75,9.22,broken clouds
166,Tahta,EG,26.7693,31.5021,66.2,24,0,6.91,clear sky
167,Blagoyevo,RU,63.3667,47.9167,13.6,96,100,5.23,overcast clouds
168,Hamina,FI,60.5697,27.1979,3.99,71,0,10.36,clear sky
169,San Patricio,US,28.017,-97.5169,73.4,78,75,23.02,broken clouds
170,Nikolskoye,RU,59.7035,30.7861,7.0,65,0,4.47,clear sky
171,Aasiaat,GL,68.7098,-52.8699,12.76,93,99,6.4,overcast clouds
172,Flinders,AU,-34.5833,150.8552,75.99,75,75,4.0,broken clouds
173,Saint-Philippe,RE,-21.3585,55.7679,75.2,73,0,5.75,light rain
174,Gat,IL,31.61,34.7642,64.0,58,98,8.57,overcast clouds
175,Ust-Nera,RU,64.5667,143.2,-0.29,84,100,6.53,light snow
176,Natal,BR,-5.795,-35.2094,80.6,78,0,8.05,clear sky
177,Aberystwyth,GB,52.4155,-4.0829,48.99,88,98,15.01,light rain
178,Port Macquarie,AU,-31.4333,152.9167,68.0,100,75,4.61,broken clouds
179,Porto Novo,BJ,6.4965,2.6036,84.2,89,40,13.8,scattered clouds
180,Aberdeen,GB,57.1437,-2.0981,46.99,87,75,24.16,broken clouds
181,Tchaourou,BJ,8.8865,2.5975,80.17,73,91,7.96,overcast clouds
182,Zaraza,VE,9.3503,-65.3245,76.6,71,99,10.49,overcast clouds
183,Gornopravdinsk,RU,60.05,69.9,-11.42,88,93,7.47,overcast clouds
184,Wajid,SO,3.8093,43.2471,72.64,73,1,13.4,clear sky
185,Nanakuli,US,21.3906,-158.1547,80.6,69,20,9.22,light rain
186,Kloulklubed,PW,7.0419,134.2556,80.6,89,75,3.44,broken clouds
187,College,US,64.8569,-147.8028,27.0,86,90,5.68,mist
188,Lukovetskiy,RU,64.2956,41.9211,5.0,85,0,4.47,clear sky
189,Gweta,BW,-20.1833,25.2333,77.97,42,16,4.5,few clouds
190,Santiago Del Estero,AR,-27.7951,-64.2615,83.17,39,0,7.45,clear sky
191,Montepuez,MZ,-13.1256,38.9997,68.76,97,100,2.8,overcast clouds
192,Tatawin,TN,32.9297,10.4518,52.2,67,0,14.9,clear sky
193,Aklavik,CA,68.2191,-135.0107,15.8,73,90,9.22,overcast clouds
194,Trofors,NO,65.5333,13.4063,30.2,64,91,31.07,overcast clouds
195,Kajaani,FI,64.2273,27.7285,6.8,47,0,9.22,clear sky
196,Lebu,CL,-37.6167,-73.65,59.45,83,85,6.62,overcast clouds
197,San Jose,US,37.3394,-121.895,55.4,62,75,5.99,broken clouds
198,Port Hedland,AU,-20.3167,118.5667,87.8,79,75,12.66,broken clouds
199,Havelock,US,34.8791,-76.9013,60.01,44,1,6.91,clear sky
200,Flin Flon,CA,54.7682,-101.865,17.6,79,90,19.57,snow
201,Iskateley,RU,67.6803,53.1512,9.43,96,100,5.32,overcast clouds
202,Codrington,AU,-38.2667,141.9667,65.7,59,95,6.44,overcast clouds
203,Victoria,HK,22.2855,114.1577,69.01,83,95,18.39,overcast clouds
204,Leningradskiy,RU,69.3833,178.4167,-13.07,78,0,5.28,clear sky
205,Mustvee,EE,58.8486,26.9397,19.0,73,90,11.5,light snow
206,Nyimba,ZM,-14.5566,30.8149,68.0,95,91,1.99,light rain
207,Sidrolandia,BR,-20.9319,-54.9614,77.0,57,0,4.61,clear sky
208,Chuy,UY,-33.6971,-53.4616,66.25,84,15,6.31,few clouds
209,Mogadishu,SO,2.0371,45.3438,78.12,85,14,15.39,few clouds
210,Shahrud,IR,36.4182,54.9763,40.57,69,0,0.81,clear sky
211,Las Vegas,US,36.175,-115.1372,57.2,28,90,21.85,overcast clouds
212,Dwarka,IN,22.2394,68.9678,73.09,82,0,7.52,clear sky
213,Paamiut,GL,61.994,-49.6678,21.87,97,94,9.71,light snow
214,Eureka,US,40.8021,-124.1637,51.01,69,96,8.99,overcast clouds
